TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_PRECISION,DATA_SCALE,HCAT_TYPE
CVLEG,STRCD,VARCHAR2,NA,NA,string
CVLEG,STRRELOC,VARCHAR2,NA,NA,string
CVLEG,USER26,VARCHAR2,NA,NA,string
CVLEG,USER27,VARCHAR2,NA,NA,string
CVLEG,USER28,VARCHAR2,NA,NA,string
CVLEG,USER29,VARCHAR2,NA,NA,string
CVLEG,USER30,VARCHAR2,NA,NA,string
CVLEG,USER31,VARCHAR2,NA,NA,string
CVLEG,USER32,VARCHAR2,NA,NA,string
CVLEG,USER33,VARCHAR2,NA,NA,string
CVLEG,USER34,VARCHAR2,NA,NA,string
CVLEG,USER35,VARCHAR2,NA,NA,string
CVLEG,SWIS_CODE,VARCHAR2,NA,NA,string
CVLEG,SCHOOL_CODE,VARCHAR2,NA,NA,string
CVLEG,ROLL_SECTION,VARCHAR2,NA,NA,string
CVLEG,USER36,VARCHAR2,NA,NA,string
CVLEG,USER37,VARCHAR2,NA,NA,string
CVLEG,USER38,VARCHAR2,NA,NA,string
CVLEG,USER39,VARCHAR2,NA,NA,string
CVLEG,USER40,VARCHAR2,NA,NA,string
CVLEG,USER41,VARCHAR2,NA,NA,string
CVLEG,USER42,VARCHAR2,NA,NA,string
CVLEG,USER43,VARCHAR2,NA,NA,string
CVLEG,USER44,VARCHAR2,NA,NA,string
CVLEG,USER45,VARCHAR2,NA,NA,string
CVLEG,USER46,VARCHAR2,NA,NA,string
CVLEG,USER47,VARCHAR2,NA,NA,string
CVLEG,USER48,VARCHAR2,NA,NA,string
CVLEG,USER49,VARCHAR2,NA,NA,string
CVLEG,USER50,VARCHAR2,NA,NA,string
CVLEG,USER51,VARCHAR2,NA,NA,string
CVLEG,USER52,VARCHAR2,NA,NA,string
CVLEG,USER53,VARCHAR2,NA,NA,string
CVLEG,USER54,VARCHAR2,NA,NA,string
CVLEG,USER55,VARCHAR2,NA,NA,string
CVLEG,USER56,VARCHAR2,NA,NA,string
CVLEG,USER57,VARCHAR2,NA,NA,string
CVLEG,USER58,VARCHAR2,NA,NA,string
CVLEG,USER59,VARCHAR2,NA,NA,string
CVLEG,USER60,VARCHAR2,NA,NA,string
CVOWN,JUR,VARCHAR2,NA,NA,string
CVOWN,CONVEYNO,NUMBER,9,0,bigint
CVOWN,TAXYR,NUMBER,4,0,bigint
CVOWN,OWNSEQ,NUMBER,3,0,bigint
CVOWN,WHO,VARCHAR2,NA,NA,string
CVOWN,WEN,DATE,NA,NA,string
CVOWN,WHOCALC,VARCHAR2,NA,NA,string
CVOWN,WENCALC,DATE,NA,NA,string
CVOWN,STATUS,VARCHAR2,NA,NA,string
CVOWN,OTAXYR,NUMBER,4,0,bigint
CVOWN,OSEQ,NUMBER,3,0,bigint
CVOWN,DELFLG,VARCHAR2,NA,NA,string
CVOWN,CHGRSN,VARCHAR2,NA,NA,string
CVOWN,POWN1,VARCHAR2,NA,NA,string
CVOWN,POWN2,VARCHAR2,NA,NA,string
CVOWN,PO,NUMBER,1,0,bigint
CVOWN,OWN1,VARCHAR2,NA,NA,string
CVOWN,OWN2,VARCHAR2,NA,NA,string
CVOWN,CAREOF,VARCHAR2,NA,NA,string
CVOWN,ADDRTYPE,VARCHAR2,NA,NA,string
CVOWN,ADRNO,NUMBER,10,0,bigint
CVOWN,ADRGRID,VARCHAR2,NA,NA,string
CVOWN,ADRADD,VARCHAR2,NA,NA,string
CVOWN,ADRDIR,VARCHAR2,NA,NA,string
CVOWN,ADRSTR,VARCHAR2,NA,NA,string
CVOWN,ADRSUF,VARCHAR2,NA,NA,string
CVOWN,ADRSUF2,VARCHAR2,NA,NA,string
CVOWN,CITYNAME,VARCHAR2,NA,NA,string
CVOWN,STATECODE,VARCHAR2,NA,NA,string
CVOWN,COUNTRY,VARCHAR2,NA,NA,string
CVOWN,POSTALCODE,VARCHAR2,NA,NA,string
CVOWN,UNITDESC,VARCHAR2,NA,NA,string
CVOWN,UNITNO,VARCHAR2,NA,NA,string
CVOWN,ADDR1,VARCHAR2,NA,NA,string
CVOWN,ADDR2,VARCHAR2,NA,NA,string
CVOWN,ADDR3,VARCHAR2,NA,NA,string
CVOWN,ZIP1,VARCHAR2,NA,NA,string
CVOWN,ZIP2,VARCHAR2,NA,NA,string
CVOWN,CARRIER_RT,VARCHAR2,NA,NA,string
CVOWN,POSTAL_INDX,VARCHAR2,NA,NA,string
CVOWN,PCTOWN,NUMBER,7,4,double
CVOWN,SALEKEY,NUMBER,8,0,bigint
CVOWN,OWNTYPE1,VARCHAR2,NA,NA,string
CVOWN,OWNTYPE2,VARCHAR2,NA,NA,string
CVOWN,OWNTYPE3,VARCHAR2,NA,NA,string
CVOWN,OWNTYPE4,VARCHAR2,NA,NA,string
CVOWN,HIDENAME,VARCHAR2,NA,NA,string
CVOWN,SSN,VARCHAR2,NA,NA,string
CVOWN,FEDID,VARCHAR2,NA,NA,string
CVOWN,STATEID,VARCHAR2,NA,NA,string
CVOWN,MARSTAT,VARCHAR2,NA,NA,string
CVOWN,GRPFLAG,VARCHAR2,NA,NA,string
CVOWN,OWNBEG,DATE,NA,NA,string
CVOWN,OWNEND,DATE,NA,NA,string
CVOWN,PHONE,VARCHAR2,NA,NA,string
CVOWN,FAX,VARCHAR2,NA,NA,string
CVOWN,EMAIL,VARCHAR2,NA,NA,string
CVOWN,NOTECD,VARCHAR2,NA,NA,string
CVOWN,OWNNUM,VARCHAR2,NA,NA,string
CVOWN,LINK,VARCHAR2,NA,NA,string
CVOWN,PARTIAL,VARCHAR2,NA,NA,string
CVOWN,BOOK,VARCHAR2,NA,NA,string
CVOWN,PAGE,VARCHAR2,NA,NA,string
CVOWN,NOTE1,VARCHAR2,NA,NA,string
CVOWN,NOTE2,VARCHAR2,NA,NA,string
CVOWN,USER1,VARCHAR2,NA,NA,string
CVOWN,USER2,VARCHAR2,NA,NA,string
CVOWN,USER3,VARCHAR2,NA,NA,string
CVOWN,USER4,VARCHAR2,NA,NA,string
CVOWN,USER5,VARCHAR2,NA,NA,string
CVOWN,USER6,VARCHAR2,NA,NA,string
CVOWN,USER7,VARCHAR2,NA,NA,string
CVOWN,USER8,VARCHAR2,NA,NA,string
CVOWN,USER9,VARCHAR2,NA,NA,string
CVOWN,USER10,VARCHAR2,NA,NA,string
CVOWN,USER11,VARCHAR2,NA,NA,string
CVOWN,USER12,VARCHAR2,NA,NA,string
CVOWN,USER13,VARCHAR2,NA,NA,string
CVOWN,USER14,VARCHAR2,NA,NA,string
CVOWN,USER15,VARCHAR2,NA,NA,string
CVOWN,USER16,VARCHAR2,NA,NA,string
CVOWN,USER17,VARCHAR2,NA,NA,string
CVOWN,USER18,VARCHAR2,NA,NA,string
CVOWN,USER19,VARCHAR2,NA,NA,string
CVOWN,USER20,VARCHAR2,NA,NA,string
CVOWN,USER21,VARCHAR2,NA,NA,string
CVOWN,USER22,VARCHAR2,NA,NA,string
CVOWN,USER23,VARCHAR2,NA,NA,string
CVOWN,USER24,VARCHAR2,NA,NA,string
CVOWN,USER25,VARCHAR2,NA,NA,string
CVOWN,IASW_ID,NUMBER,NA,NA,bigint
CVOWN,TRANS_ID,NUMBER,10,0,bigint
CVOWN,UPD_STATUS,VARCHAR2,NA,NA,string
CVOWN,CNAMEJUR,VARCHAR2,NA,NA,string
CVOWN,USER26,VARCHAR2,NA,NA,string
CVOWN,USER27,VARCHAR2,NA,NA,string
CVOWN,USER28,VARCHAR2,NA,NA,string
CVOWN,USER29,VARCHAR2,NA,NA,string
CVOWN,USER30,VARCHAR2,NA,NA,string
CVOWN,USER31,VARCHAR2,NA,NA,string
CVOWN,USER32,VARCHAR2,NA,NA,string
CVOWN,USER33,VARCHAR2,NA,NA,string
CVOWN,USER34,VARCHAR2,NA,NA,string
CVOWN,USER35,VARCHAR2,NA,NA,string
CVOWN,USER36,VARCHAR2,NA,NA,string
CVOWN,USER37,VARCHAR2,NA,NA,string
CVOWN,USER38,VARCHAR2,NA,NA,string
CVOWN,USER39,VARCHAR2,NA,NA,string
CVOWN,USER40,VARCHAR2,NA,NA,string
CVOWN,SPLITNO,NUMBER,15,0,double
CVOWN,OWN1_FIRSTNAME,VARCHAR2,NA,NA,string
CVOWN,OWN1_LASTNAME,VARCHAR2,NA,NA,string
CVOWN,OWN1_MIDDLENAME,VARCHAR2,NA,NA,string
CVOWN,OWN1_PREFIX,VARCHAR2,NA,NA,string
CVOWN,OWN1_SUFFIX,VARCHAR2,NA,NA,string
CVOWN,OWN1_COMPANYNAME,VARCHAR2,NA,NA,string
CVOWN,OWN2_FIRSTNAME,VARCHAR2,NA,NA,string
CVOWN,OWN2_LASTNAME,VARCHAR2,NA,NA,string
CVOWN,OWN2_MIDDLENAME,VARCHAR2,NA,NA,string
CVOWN,OWN2_PREFIX,VARCHAR2,NA,NA,string
CVOWN,OWN2_SUFFIX,VARCHAR2,NA,NA,string
CVOWN,OWN2_COMPANYNAME,VARCHAR2,NA,NA,string
CVOWN,POWN1_FIRSTNAME,VARCHAR2,NA,NA,string
CVOWN,POWN1_LASTNAME,VARCHAR2,NA,NA,string
CVOWN,POWN1_MIDDLENAME,VARCHAR2,NA,NA,string
CVOWN,POWN1_PREFIX,VARCHAR2,NA,NA,string
CVOWN,POWN1_SUFFIX,VARCHAR2,NA,NA,string
CVOWN,POWN1_COMPANYNAME,VARCHAR2,NA,NA,string
CVOWN,POWN2_FIRSTNAME,VARCHAR2,NA,NA,string
CVOWN,POWN2_LASTNAME,VARCHAR2,NA,NA,string
CVOWN,POWN2_MIDDLENAME,VARCHAR2,NA,NA,string
CVOWN,POWN2_PREFIX,VARCHAR2,NA,NA,string
CVOWN,POWN2_SUFFIX,VARCHAR2,NA,NA,string
CVOWN,POWN2_COMPANYNAME,VARCHAR2,NA,NA,string
CVOWN,ATTN,VARCHAR2,NA,NA,string
CVOWN,FLOORNO,VARCHAR2,NA,NA,string
CVOWN,DELMOD,VARCHAR2,NA,NA,string
CVOWN,DELMODVAL,VARCHAR2,NA,NA,string
CVOWN,SITE,VARCHAR2,NA,NA,string
CVOWN,COMPARTMENT,VARCHAR2,NA,NA,string
CVOWN,DELINSTALLTYPE,VARCHAR2,NA,NA,string
CVOWN,DELINSTALLVAL,VARCHAR2,NA,NA,string
CVOWN,ADDR4,VARCHAR2,NA,NA,string
CVOWN,ADDR5,VARCHAR2,NA,NA,string
CVOWN,ADRPRE,VARCHAR2,NA,NA,string
CVOWN,ADDRVALID,VARCHAR2,NA,NA,string
CVOWN,UDATE1,DATE,NA,NA,string
CVOWN,UDATE2,DATE,NA,NA,string
CVOWN,UDATE3,DATE,NA,NA,string
CVOWN,UDATE4,DATE,NA,NA,string
CVOWN,UDATE5,DATE,NA,NA,string
CVOWN,UDATE6,DATE,NA,NA,string
CVOWN,UDATE7,DATE,NA,NA,string
CVOWN,UDATE8,DATE,NA,NA,string
CVOWN,UDATE9,DATE,NA,NA,string
CVOWN,UDATE10,DATE,NA,NA,string
CVTRAN,JUR,VARCHAR2,NA,NA,string
CVTRAN,CONVEYNO,NUMBER,9,0,bigint
CVTRAN,TAXYR,NUMBER,4,0,bigint
CVTRAN,WHO,VARCHAR2,NA,NA,string
CVTRAN,WEN,DATE,NA,NA,string
CVTRAN,WHOCALC,VARCHAR2,NA,NA,string
CVTRAN,WENCALC,DATE,NA,NA,string
CVTRAN,STATUS,VARCHAR2,NA,NA,string
CVTRAN,CHGRSN,VARCHAR2,NA,NA,string
CVTRAN,SPLITNO,NUMBER,15,0,double
CVTRAN,CONVSTAT,VARCHAR2,NA,NA,string
CVTRAN,CONVDATE,DATE,NA,NA,string
CVTRAN,LOTS,NUMBER,4,0,bigint
CVTRAN,PARSIN,NUMBER,4,0,bigint
CVTRAN,PARSOUT,NUMBER,4,0,bigint
CVTRAN,EXFEE,VARCHAR2,NA,NA,string
CVTRAN,COMNT,VARCHAR2,NA,NA,string
CVTRAN,UPD_OWNDAT,VARCHAR2,NA,NA,string
CVTRAN,UPD_OWNMLT,VARCHAR2,NA,NA,string
CVTRAN,REMDATE,DATE,NA,NA,string
CVTRAN,RESIND,VARCHAR2,NA,NA,string
CVTRAN,REALCTR,VARCHAR2,NA,NA,string
CVTRAN,MKTVAL,NUMBER,10,0,bigint
CVTRAN,MORTAMT,NUMBER,12,2,double
CVTRAN,CASHAMT,NUMBER,12,2,double
CVTRAN,MORTASSM,NUMBER,12,2,double
CVTRAN,CASHASSM,NUMBER,12,2,double
CVTRAN,ASSUMIND,VARCHAR2,NA,NA,string
